epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,15280,0.48482,0.43502,0.9948,0.93772,0.91407,0.9597,0.892,0.3871,0.32839,0.87938,0.004258,0.004258,0.004258
60,15534,0.479,0.4306,0.9918,0.9473,0.90435,0.96093,0.8926,0.38689,0.32638,0.88015,0.004159,0.004159,0.004159
61,15787.6,0.47972,0.42322,0.99463,0.93471,0.9184,0.96105,0.89377,0.38656,0.3245,0.87938,0.00406,0.00406,0.00406
62,16041.7,0.47393,0.41799,0.98243,0.94386,0.91095,0.96211,0.89443,0.3863,0.32734,0.87853,0.003961,0.003961,0.003961
63,16295.4,0.47011,0.40781,0.9807,0.93448,0.92082,0.96327,0.89606,0.3868,0.32226,0.87924,0.003862,0.003862,0.003862
64,16549.2,0.46759,0.40267,0.9795,0.94275,0.91433,0.96357,0.8963,0.38808,0.32323,0.87861,0.003763,0.003763,0.003763
65,16803.6,0.46164,0.39788,0.97679,0.94328,0.91502,0.96283,0.89592,0.38676,0.32389,0.87763,0.003664,0.003664,0.003664
66,17056.3,0.4601,0.39898,0.97738,0.94396,0.91494,0.96301,0.8969,0.38559,0.32396,0.87769,0.003565,0.003565,0.003565
67,17309.2,0.46022,0.39207,0.97467,0.94777,0.91358,0.96274,0.89795,0.38511,0.3246,0.87788,0.003466,0.003466,0.003466
68,17561.5,0.45577,0.39505,0.98003,0.94842,0.91673,0.9626,0.89687,0.38619,0.32372,0.88001,0.003367,0.003367,0.003367
69,17814.3,0.45203,0.38685,0.9787,0.94461,0.91753,0.96158,0.89609,0.38627,0.32392,0.88066,0.003268,0.003268,0.003268
70,18067.2,0.44982,0.38183,0.97277,0.94422,0.91887,0.96172,0.89604,0.38708,0.32461,0.88163,0.003169,0.003169,0.003169
71,18321.1,0.44536,0.37438,0.96928,0.94503,0.91734,0.96178,0.89636,0.38587,0.32427,0.88008,0.00307,0.00307,0.00307
72,18574.7,0.44953,0.37488,0.97055,0.9412,0.92106,0.96154,0.89657,0.38501,0.32476,0.87857,0.002971,0.002971,0.002971
73,18828.4,0.44396,0.37282,0.96983,0.94567,0.91683,0.9615,0.89642,0.3857,0.32442,0.87944,0.002872,0.002872,0.002872
74,19082.6,0.4395,0.36676,0.96885,0.94644,0.9192,0.96135,0.89614,0.38505,0.32482,0.8788,0.002773,0.002773,0.002773
75,19337.1,0.43649,0.36029,0.95989,0.94734,0.91964,0.96113,0.89617,0.38376,0.32555,0.87712,0.002674,0.002674,0.002674
76,19591.5,0.43743,0.35714,0.96308,0.94792,0.91538,0.96093,0.89666,0.38311,0.32432,0.87616,0.002575,0.002575,0.002575
77,19845.9,0.43516,0.35359,0.9566,0.95129,0.91259,0.95998,0.89648,0.38293,0.32407,0.87565,0.002476,0.002476,0.002476
78,20100.1,0.428,0.35132,0.95768,0.94848,0.91466,0.96042,0.89694,0.38193,0.32435,0.87468,0.002377,0.002377,0.002377
79,20354.4,0.42303,0.34389,0.95528,0.94967,0.91377,0.9603,0.89708,0.3818,0.32361,0.87437,0.002278,0.002278,0.002278
80,20608.4,0.42174,0.34046,0.9571,0.95066,0.91404,0.96074,0.89727,0.38187,0.32297,0.87464,0.002179,0.002179,0.002179
81,20863.5,0.41775,0.33407,0.95266,0.95003,0.91422,0.96071,0.8968,0.3823,0.32291,0.87467,0.00208,0.00208,0.00208
82,21118.9,0.41789,0.33602,0.9562,0.94599,0.91582,0.96091,0.8975,0.38206,0.3222,0.87462,0.001981,0.001981,0.001981
83,21374.8,0.41458,0.33358,0.95551,0.94655,0.91473,0.96058,0.89749,0.3819,0.3215,0.87458,0.001882,0.001882,0.001882
