epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,403.645,1.07178,1.28301,1.40337,0.58087,0.6,0.47103,0.1832,1.9617,1.92841,2.47816,0.0008516,0.0008516,0.0008516
60,410.353,1.11783,1.41757,1.44163,0.38812,0.6,0.48461,0.19431,2.20697,1.89501,2.78091,0.0008318,0.0008318,0.0008318
61,417.099,1.07999,1.3297,1.41651,0.41144,0.6,0.42423,0.20244,1.91997,1.56614,2.42691,0.000812,0.000812,0.000812
62,423.856,1.03549,1.2442,1.37223,0.57796,0.46667,0.52313,0.25821,1.8077,1.68627,2.252,0.0007922,0.0007922,0.0007922
63,430.598,1.02955,1.23551,1.37276,0.57786,0.45703,0.48197,0.21005,1.92084,1.8967,2.24984,0.0007724,0.0007724,0.0007724
64,437.454,1.00929,1.26318,1.34647,0.46834,0.6,0.47354,0.20397,1.88279,1.79576,2.46617,0.0007526,0.0007526,0.0007526
65,444.221,0.99911,1.25621,1.34885,0.59983,0.53333,0.46761,0.20046,1.81006,1.99296,2.3192,0.0007328,0.0007328,0.0007328
66,451.048,0.9864,1.19897,1.34991,0.3666,0.73333,0.4644,0.23711,1.85514,1.81672,2.38299,0.000713,0.000713,0.000713
67,457.843,0.95201,1.18364,1.32136,0.46615,0.73333,0.57913,0.24153,1.93337,1.58026,2.47899,0.0006932,0.0006932,0.0006932
68,464.614,0.96815,1.1826,1.32727,0.64816,0.53333,0.61543,0.23274,1.88646,1.65967,2.44335,0.0006734,0.0006734,0.0006734
69,471.398,0.92078,1.13718,1.31988,0.34663,0.86667,0.44536,0.24393,1.86841,2.1394,2.43194,0.0006536,0.0006536,0.0006536
70,478.177,0.98338,1.12399,1.3306,0.49917,0.46524,0.40072,0.19877,2.19137,1.98148,2.75038,0.0006338,0.0006338,0.0006338
71,484.851,0.94431,1.16114,1.32078,0.40407,0.58809,0.4053,0.16143,2.41484,1.8817,2.967,0.000614,0.000614,0.000614
72,491.581,0.9316,1.11729,1.31581,0.4894,0.53333,0.52346,0.23816,2.02873,1.73821,2.48754,0.0005942,0.0005942,0.0005942
73,498.47,0.87966,1.06729,1.28807,0.45582,0.66667,0.50632,0.27846,1.79406,1.78747,2.30473,0.0005744,0.0005744,0.0005744
